,State,Median AQI,Year,Units,Value
2,Alabama,49.8,2007,Thousands of jobs,1786.5
12,Alaska,16.9,2007,Thousands of jobs,273.2
22,Arizona,47.5,2007,Thousands of jobs,2494.5
32,Arkansas,44.8,2007,Thousands of jobs,1093.5
42,California,48.9,2007,Thousands of jobs,14968.1
52,Colorado,37.4,2007,Thousands of jobs,2187.3
62,Connecticut,41.2,2007,Thousands of jobs,1590.1
72,Delaware,50.3,2007,Thousands of jobs,400.5
82,Florida,40.8,2007,Thousands of jobs,7483.7
92,Georgia,49.8,2007,Thousands of jobs,3773.2
102,Hawaii,15.7,2007,Thousands of jobs,560.1
112,Idaho,27.6,2007,Thousands of jobs,621.0
122,Illinois,42.5,2007,Thousands of jobs,5492.3
132,Indiana,50.6,2007,Thousands of jobs,2734.3
142,Iowa,41.4,2007,Thousands of jobs,1382.7
152,Kansas,33.7,2007,Thousands of jobs,1236.9
162,Kentucky,48.0,2007,Thousands of jobs,1684.3
172,Louisiana,41.6,2007,Thousands of jobs,1716.8
182,Maine,32.8,2007,Thousands of jobs,592.3
192,Maryland,48.1,2007,Thousands of jobs,2305.2
202,Massachusetts,40.5,2007,Thousands of jobs,3111.5
212,Michigan,40.8,2007,Thousands of jobs,3907.0
222,Minnesota,35.6,2007,Thousands of jobs,2548.3
232,Mississippi,47.3,2007,Thousands of jobs,1001.8
242,Missouri,46.8,2007,Thousands of jobs,2604.5
252,Montana,22.8,2007,Thousands of jobs,412.2
262,Nebraska,31.4,2007,Thousands of jobs,880.0
272,Nevada,35.4,2007,Thousands of jobs,1203.1
282,New Hampshire,36.0,2007,Thousands of jobs,616.6
292,New Jersey,42.2,2007,Thousands of jobs,3648.0
302,New Mexico,30.1,2007,Thousands of jobs,740.1
312,New York,38.0,2007,Thousands of jobs,7787.5
322,North Carolina,49.9,2007,Thousands of jobs,3778.3
332,North Dakota,29.8,2007,Thousands of jobs,308.2
342,Ohio,43.6,2007,Thousands of jobs,4971.0
352,Oklahoma,37.8,2007,Thousands of jobs,1371.5
362,Oregon,27.1,2007,Thousands of jobs,1654.5
372,Pennsylvania,42.5,2007,Thousands of jobs,5449.6
382,Rhode Island,41.0,2007,Thousands of jobs,464.9
392,South Carolina,45.4,2007,Thousands of jobs,1727.3
402,South Dakota,33.0,2007,Thousands of jobs,365.9
412,Tennessee,49.7,2007,Thousands of jobs,2659.8
422,Texas,39.7,2007,Thousands of jobs,9525.0
432,Utah,44.6,2007,Thousands of jobs,1142.1
442,Vermont,26.0,2007,Thousands of jobs,294.8
452,Virginia,38.2,2007,Thousands of jobs,3382.5
462,Washington,26.7,2007,Thousands of jobs,2722.2
472,West Virginia,48.1,2007,Thousands of jobs,626.8
482,Wisconsin,41.1,2007,Thousands of jobs,2643.5
492,Wyoming,31.9,2007,Thousands of jobs,247.0
502,Alabama,44.3,2008,Thousands of jobs,1728.7
512,Alaska,14.2,2008,Thousands of jobs,272.8
522,Arizona,48.2,2008,Thousands of jobs,2427.7
532,Arkansas,41.3,2008,Thousands of jobs,1088.0
542,California,50.9,2008,Thousands of jobs,14643.4
552,Colorado,36.1,2008,Thousands of jobs,2190.3
562,Connecticut,40.5,2008,Thousands of jobs,1571.5
572,Delaware,49.0,2008,Thousands of jobs,398.2
582,Florida,39.1,2008,Thousands of jobs,7108.1
592,Georgia,46.6,2008,Thousands of jobs,3714.6
602,Hawaii,37.3,2008,Thousands of jobs,553.9
612,Idaho,25.9,2008,Thousands of jobs,598.7
622,Illinois,38.7,2008,Thousands of jobs,5392.3
632,Indiana,45.3,2008,Thousands of jobs,2660.8
642,Iowa,38.8,2008,Thousands of jobs,1368.3
652,Kansas,32.3,2008,Thousands of jobs,1245.4
662,Kentucky,42.9,2008,Thousands of jobs,1668.5
672,Louisiana,39.4,2008,Thousands of jobs,1690.9
682,Maine,33.7,2008,Thousands of jobs,583.8
692,Maryland,45.6,2008,Thousands of jobs,2290.4
702,Massachusetts,41.2,2008,Thousands of jobs,3128.6
712,Michigan,40.3,2008,Thousands of jobs,3779.7
722,Minnesota,35.0,2008,Thousands of jobs,2526.2
732,Mississippi,44.1,2008,Thousands of jobs,984.3
742,Missouri,43.1,2008,Thousands of jobs,2548.5
752,Montana,21.7,2008,Thousands of jobs,407.8
762,Nebraska,30.8,2008,Thousands of jobs,886.3
772,Nevada,33.3,2008,Thousands of jobs,1179.0
782,New Hampshire,36.4,2008,Thousands of jobs,608.5
792,New Jersey,41.0,2008,Thousands of jobs,3638.3
802,New Mexico,30.3,2008,Thousands of jobs,726.9
812,New York,38.1,2008,Thousands of jobs,7833.2
822,North Carolina,45.5,2008,Thousands of jobs,3714.2
832,North Dakota,31.3,2008,Thousands of jobs,320.6
842,Ohio,43.2,2008,Thousands of jobs,4898.0
852,Oklahoma,38.5,2008,Thousands of jobs,1387.1
862,Oregon,32.9,2008,Thousands of jobs,1626.6
872,Pennsylvania,41.7,2008,Thousands of jobs,5453.7
882,Rhode Island,41.3,2008,Thousands of jobs,454.7
892,South Carolina,42.8,2008,Thousands of jobs,1704.6
902,South Dakota,33.1,2008,Thousands of jobs,368.5
912,Tennessee,40.9,2008,Thousands of jobs,2625.4
