,State,Median AQI,Year,Units,Value
0,Alabama,49.8,2007,Millions of hours,"3,149.999"
10,Alaska,16.9,2007,Millions of hours,468.319
20,Arizona,47.5,2007,Millions of hours,"4,244.943"
30,Arkansas,44.8,2007,Millions of hours,"1,837.477"
40,California,48.9,2007,Millions of hours,"25,100.352"
50,Colorado,37.4,2007,Millions of hours,"3,673.313"
60,Connecticut,41.2,2007,Millions of hours,"2,629.768"
70,Delaware,50.3,2007,Millions of hours,663.765
80,Florida,40.8,2007,Millions of hours,"12,827.333"
90,Georgia,49.8,2007,Millions of hours,"6,492.891"
100,Hawaii,15.7,2007,Millions of hours,889.797
110,Idaho,27.6,2007,Millions of hours,"1,026.068"
120,Illinois,42.5,2007,Millions of hours,"9,103.526"
130,Indiana,50.6,2007,Millions of hours,"4,676.620"
140,Iowa,41.4,2007,Millions of hours,"2,291.459"
150,Kansas,33.7,2007,Millions of hours,"2,059.137"
160,Kentucky,48.0,2007,Millions of hours,"2,985.955"
170,Louisiana,41.6,2007,Millions of hours,"2,975.112"
180,Maine,32.8,2007,Millions of hours,971.893
190,Maryland,48.1,2007,Millions of hours,"3,864.007"
200,Massachusetts,40.5,2007,Millions of hours,"5,040.240"
210,Michigan,40.8,2007,Millions of hours,"6,562.950"
220,Minnesota,35.6,2007,Millions of hours,"4,133.489"
230,Mississippi,47.3,2007,Millions of hours,"1,730.715"
240,Missouri,46.8,2007,Millions of hours,"4,345.754"
250,Montana,22.8,2007,Millions of hours,701.203
260,Nebraska,31.4,2007,Millions of hours,"1,430.323"
270,Nevada,35.4,2007,Millions of hours,"2,184.012"
280,New Hampshire,36.0,2007,Millions of hours,990.681
290,New Jersey,42.2,2007,Millions of hours,"6,022.778"
300,New Mexico,30.1,2007,Millions of hours,"1,233.411"
310,New York,38.0,2007,Millions of hours,"12,840.586"
320,North Carolina,49.9,2007,Millions of hours,"6,357.400"
330,North Dakota,29.8,2007,Millions of hours,494.331
340,Ohio,43.6,2007,Millions of hours,"8,112.713"
350,Oklahoma,37.8,2007,Millions of hours,"2,313.392"
360,Oregon,27.1,2007,Millions of hours,"2,733.859"
370,Pennsylvania,42.5,2007,Millions of hours,"8,933.345"
380,Rhode Island,41.0,2007,Millions of hours,751.561
390,South Carolina,45.4,2007,Millions of hours,"3,002.618"
400,South Dakota,33.0,2007,Millions of hours,587.107
410,Tennessee,49.7,2007,Millions of hours,"4,557.592"
420,Texas,39.7,2007,Millions of hours,"16,806.132"
430,Utah,44.6,2007,Millions of hours,"1,913.459"
440,Vermont,26.0,2007,Millions of hours,479.674
450,Virginia,38.2,2007,Millions of hours,"5,759.071"
460,Washington,26.7,2007,Millions of hours,"4,561.725"
470,West Virginia,48.1,2007,Millions of hours,"1,065.745"
480,Wisconsin,41.1,2007,Millions of hours,"4,197.787"
490,Wyoming,31.9,2007,Millions of hours,431.167
500,Alabama,44.3,2008,Millions of hours,"2,999.167"
510,Alaska,14.2,2008,Millions of hours,462.610
520,Arizona,48.2,2008,Millions of hours,"4,098.235"
530,Arkansas,41.3,2008,Millions of hours,"1,836.866"
540,California,50.9,2008,Millions of hours,"24,276.289"
550,Colorado,36.1,2008,Millions of hours,"3,672.508"
560,Connecticut,40.5,2008,Millions of hours,"2,571.184"
570,Delaware,49.0,2008,Millions of hours,649.312
580,Florida,39.1,2008,Millions of hours,"12,129.317"
590,Georgia,46.6,2008,Millions of hours,"6,316.491"
600,Hawaii,37.3,2008,Millions of hours,885.161
610,Idaho,25.9,2008,Millions of hours,989.708
