,State,Median AQI,Year,Units,Value
8,Alabama,49.8,2007,Index (2012=100),91.417
18,Alaska,16.9,2007,Index (2012=100),90.576
28,Arizona,47.5,2007,Index (2012=100),95.599
38,Arkansas,44.8,2007,Index (2012=100),93.978
48,California,48.9,2007,Index (2012=100),90.457
58,Colorado,37.4,2007,Index (2012=100),93.578
68,Connecticut,41.2,2007,Index (2012=100),105.059
78,Delaware,50.3,2007,Index (2012=100),92.122
88,Florida,40.8,2007,Index (2012=100),98.789
98,Georgia,49.8,2007,Index (2012=100),95.772
108,Hawaii,15.7,2007,Index (2012=100),94.131
118,Idaho,27.6,2007,Index (2012=100),91.658
128,Illinois,42.5,2007,Index (2012=100),93.172
138,Indiana,50.6,2007,Index (2012=100),95.700
148,Iowa,41.4,2007,Index (2012=100),97.033
158,Kansas,33.7,2007,Index (2012=100),94.046
168,Kentucky,48.0,2007,Index (2012=100),92.818
178,Louisiana,41.6,2007,Index (2012=100),101.043
188,Maine,32.8,2007,Index (2012=100),97.554
198,Maryland,48.1,2007,Index (2012=100),90.243
208,Massachusetts,40.5,2007,Index (2012=100),91.603
218,Michigan,40.8,2007,Index (2012=100),97.745
228,Minnesota,35.6,2007,Index (2012=100),93.277
238,Mississippi,47.3,2007,Index (2012=100),92.594
248,Missouri,46.8,2007,Index (2012=100),91.660
258,Montana,22.8,2007,Index (2012=100),94.104
268,Nebraska,31.4,2007,Index (2012=100),90.506
278,Nevada,35.4,2007,Index (2012=100),98.929
288,New Hampshire,36.0,2007,Index (2012=100),94.016
298,New Jersey,42.2,2007,Index (2012=100),96.543
308,New Mexico,30.1,2007,Index (2012=100),91.228
318,New York,38.0,2007,Index (2012=100),90.384
328,North Carolina,49.9,2007,Index (2012=100),93.743
338,North Dakota,29.8,2007,Index (2012=100),70.007
348,Ohio,43.6,2007,Index (2012=100),95.966
358,Oklahoma,37.8,2007,Index (2012=100),88.958
368,Oregon,27.1,2007,Index (2012=100),90.004
378,Pennsylvania,42.5,2007,Index (2012=100),92.062
388,Rhode Island,41.0,2007,Index (2012=100),92.251
398,South Carolina,45.4,2007,Index (2012=100),94.680
408,South Dakota,33.0,2007,Index (2012=100),86.133
418,Tennessee,49.7,2007,Index (2012=100),89.825
428,Texas,39.7,2007,Index (2012=100),94.204
438,Utah,44.6,2007,Index (2012=100),92.473
448,Vermont,26.0,2007,Index (2012=100),88.425
458,Virginia,38.2,2007,Index (2012=100),92.073
468,Washington,26.7,2007,Index (2012=100),91.022
478,West Virginia,48.1,2007,Index (2012=100),94.785
488,Wisconsin,41.1,2007,Index (2012=100),93.331
498,Wyoming,31.9,2007,Index (2012=100),105.805
508,Alabama,44.3,2008,Index (2012=100),92.996
518,Alaska,14.2,2008,Index (2012=100),89.591
528,Arizona,48.2,2008,Index (2012=100),95.332
538,Arkansas,41.3,2008,Index (2012=100),93.610
548,California,50.9,2008,Index (2012=100),92.783
558,Colorado,36.1,2008,Index (2012=100),94.138
568,Connecticut,40.5,2008,Index (2012=100),104.776
578,Delaware,49.0,2008,Index (2012=100),88.458
588,Florida,39.1,2008,Index (2012=100),98.881
598,Georgia,46.6,2008,Index (2012=100),94.412
608,Hawaii,37.3,2008,Index (2012=100),94.296
618,Idaho,25.9,2008,Index (2012=100),97.513
628,Illinois,38.7,2008,Index (2012=100),93.019
638,Indiana,45.3,2008,Index (2012=100),96.769
648,Iowa,38.8,2008,Index (2012=100),94.477
658,Kansas,32.3,2008,Index (2012=100),94.742
668,Kentucky,42.9,2008,Index (2012=100),93.099
678,Louisiana,39.4,2008,Index (2012=100),102.061
688,Maine,33.7,2008,Index (2012=100),97.916
698,Maryland,45.6,2008,Index (2012=100),91.914
708,Massachusetts,41.2,2008,Index (2012=100),92.179
718,Michigan,40.3,2008,Index (2012=100),94.062
728,Minnesota,35.0,2008,Index (2012=100),93.868
738,Mississippi,44.1,2008,Index (2012=100),95.226
748,Missouri,43.1,2008,Index (2012=100),95.763
758,Montana,21.7,2008,Index (2012=100),93.779
768,Nebraska,30.8,2008,Index (2012=100),89.319
778,Nevada,33.3,2008,Index (2012=100),96.477
788,New Hampshire,36.4,2008,Index (2012=100),93.110
798,New Jersey,41.0,2008,Index (2012=100),98.372
808,New Mexico,30.3,2008,Index (2012=100),92.022
818,New York,38.1,2008,Index (2012=100),86.947
828,North Carolina,45.5,2008,Index (2012=100),97.401
838,North Dakota,31.3,2008,Index (2012=100),72.563
848,Ohio,43.2,2008,Index (2012=100),95.351
858,Oklahoma,38.5,2008,Index (2012=100),91.449
868,Oregon,32.9,2008,Index (2012=100),93.345
878,Pennsylvania,41.7,2008,Index (2012=100),93.963
888,Rhode Island,41.3,2008,Index (2012=100),91.343
898,South Carolina,42.8,2008,Index (2012=100),94.005
908,South Dakota,33.1,2008,Index (2012=100),87.290
918,Tennessee,40.9,2008,Index (2012=100),90.543
928,Texas,39.8,2008,Index (2012=100),92.258
938,Utah,43.3,2008,Index (2012=100),92.142
948,Vermont,30.2,2008,Index (2012=100),91.780
958,Virginia,35.3,2008,Index (2012=100),93.444
968,Washington,27.4,2008,Index (2012=100),91.927
978,West Virginia,42.5,2008,Index (2012=100),96.731
988,Wisconsin,39.9,2008,Index (2012=100),91.647
998,Wyoming,32.7,2008,Index (2012=100),108.004
1008,Alabama,39.5,2009,Index (2012=100),93.621
1018,Alaska,18.0,2009,Index (2012=100),102.913
1028,Arizona,45.4,2009,Index (2012=100),93.119
1038,Arkansas,39.1,2009,Index (2012=100),94.925
1048,California,47.6,2009,Index (2012=100),95.188
1058,Colorado,35.4,2009,Index (2012=100),97.078
1068,Connecticut,36.4,2009,Index (2012=100),102.724
1078,Delaware,44.0,2009,Index (2012=100),98.996
1088,Florida,38.4,2009,Index (2012=100),98.891
1098,Georgia,42.6,2009,Index (2012=100),95.692
1108,Hawaii,36.0,2009,Index (2012=100),95.094
1118,Idaho,25.0,2009,Index (2012=100),99.524
1128,Illinois,37.8,2009,Index (2012=100),95.077
1138,Indiana,43.8,2009,Index (2012=100),93.938
1148,Iowa,37.2,2009,Index (2012=100),93.122
1158,Kansas,30.4,2009,Index (2012=100),93.222
1168,Kentucky,38.6,2009,Index (2012=100),93.614
1178,Louisiana,38.6,2009,Index (2012=100),103.569
1188,Maine,32.5,2009,Index (2012=100),98.731
1198,Maryland,42.6,2009,Index (2012=100),94.244
1208,Massachusetts,37.0,2009,Index (2012=100),94.196
1218,Michigan,37.9,2009,Index (2012=100),91.406
1228,Minnesota,33.6,2009,Index (2012=100),94.153
1238,Mississippi,40.6,2009,Index (2012=100),94.964
1248,Missouri,40.1,2009,Index (2012=100),97.371
1258,Montana,25.1,2009,Index (2012=100),96.263
1268,Nebraska,26.0,2009,Index (2012=100),91.826
1278,Nevada,33.8,2009,Index (2012=100),97.299
1288,New Hampshire,34.9,2009,Index (2012=100),95.844
1298,New Jersey,37.3,2009,Index (2012=100),96.975
1308,New Mexico,29.6,2009,Index (2012=100),98.834
