,Unnamed: 0_x,State,Median AQI,year,Unnamed: 0_y,Area,Measure,Units,Year,Value
0,495,Alabama,49.8,2007,0,Alabama,Hours worked,Millions of hours,2007,"3,149.999"
2,495,Alabama,49.8,2007,1650,Alabama,Employment,Thousands of jobs,2007,1786.5
4,495,Alabama,49.8,2007,8250,Alabama,Hours worked,Index (2012=100),2007,111.179
5,495,Alabama,49.8,2007,9075,Alabama,Employment,Index (2012=100),2007,109.312
6,495,Alabama,49.8,2007,14850,Alabama,Labor productivity,Index (2012=100),2007,89.882
8,495,Alabama,49.8,2007,16500,Alabama,Output per worker,Index (2012=100),2007,91.417
10,496,Alaska,16.9,2007,15,Alaska,Hours worked,Millions of hours,2007,468.319
12,496,Alaska,16.9,2007,1665,Alaska,Employment,Thousands of jobs,2007,273.2
14,496,Alaska,16.9,2007,8265,Alaska,Hours worked,Index (2012=100),2007,97.089
15,496,Alaska,16.9,2007,9090,Alaska,Employment,Index (2012=100),2007,97.903
16,496,Alaska,16.9,2007,14865,Alaska,Labor productivity,Index (2012=100),2007,91.336
18,496,Alaska,16.9,2007,16515,Alaska,Output per worker,Index (2012=100),2007,90.576
20,497,Arizona,47.5,2007,30,Arizona,Hours worked,Millions of hours,2007,"4,244.943"
22,497,Arizona,47.5,2007,1680,Arizona,Employment,Thousands of jobs,2007,2494.5
24,497,Arizona,47.5,2007,8280,Arizona,Hours worked,Index (2012=100),2007,110.407
25,497,Arizona,47.5,2007,9105,Arizona,Employment,Index (2012=100),2007,109.667
26,497,Arizona,47.5,2007,14880,Arizona,Labor productivity,Index (2012=100),2007,94.958
28,497,Arizona,47.5,2007,16530,Arizona,Output per worker,Index (2012=100),2007,95.599
30,498,Arkansas,44.8,2007,45,Arkansas,Hours worked,Millions of hours,2007,"1,837.477"
32,498,Arkansas,44.8,2007,1695,Arkansas,Employment,Thousands of jobs,2007,1093.5
34,498,Arkansas,44.8,2007,8295,Arkansas,Hours worked,Index (2012=100),2007,104.563
35,498,Arkansas,44.8,2007,9120,Arkansas,Employment,Index (2012=100),2007,105.137
36,498,Arkansas,44.8,2007,14895,Arkansas,Labor productivity,Index (2012=100),2007,94.494
38,498,Arkansas,44.8,2007,16545,Arkansas,Output per worker,Index (2012=100),2007,93.978
40,499,California,48.9,2007,60,California,Hours worked,Millions of hours,2007,"25,100.352"
42,499,California,48.9,2007,1710,California,Employment,Thousands of jobs,2007,14968.1
44,499,California,48.9,2007,8310,California,Hours worked,Index (2012=100),2007,107.506
45,499,California,48.9,2007,9135,California,Employment,Index (2012=100),2007,105.994
46,499,California,48.9,2007,14910,California,Labor productivity,Index (2012=100),2007,89.184
48,499,California,48.9,2007,16560,California,Output per worker,Index (2012=100),2007,90.457
50,500,Colorado,37.4,2007,75,Colorado,Hours worked,Millions of hours,2007,"3,673.313"
52,500,Colorado,37.4,2007,1725,Colorado,Employment,Thousands of jobs,2007,2187.3
54,500,Colorado,37.4,2007,8325,Colorado,Hours worked,Index (2012=100),2007,103.564
55,500,Colorado,37.4,2007,9150,Colorado,Employment,Index (2012=100),2007,103.366
56,500,Colorado,37.4,2007,14925,Colorado,Labor productivity,Index (2012=100),2007,93.399
58,500,Colorado,37.4,2007,16575,Colorado,Output per worker,Index (2012=100),2007,93.578
60,501,Connecticut,41.2,2007,90,Connecticut,Hours worked,Millions of hours,2007,"2,629.768"
62,501,Connecticut,41.2,2007,1740,Connecticut,Employment,Thousands of jobs,2007,1590.1
64,501,Connecticut,41.2,2007,8340,Connecticut,Hours worked,Index (2012=100),2007,104.097
65,501,Connecticut,41.2,2007,9165,Connecticut,Employment,Index (2012=100),2007,103.367
66,501,Connecticut,41.2,2007,14940,Connecticut,Labor productivity,Index (2012=100),2007,104.322
68,501,Connecticut,41.2,2007,16590,Connecticut,Output per worker,Index (2012=100),2007,105.059
