,State,Median AQI,year
0,Alabama,33.0,1998
1,Alaska,24.2,1998
2,Arizona,44.6,1998
3,Arkansas,39.2,1998
4,California,42.5,1998
5,Canada,37.0,1998
6,Colorado,31.1,1998
7,Connecticut,42.1,1998
8,Country Of Mexico,67.3,1998
9,Delaware,46.7,1998
10,District Of Columbia,49.0,1998
11,Florida,33.5,1998
12,Georgia,41.6,1998
13,Hawaii,22.3,1998
14,Idaho,24.0,1998
15,Illinois,35.2,1998
16,Indiana,46.1,1998
17,Iowa,31.5,1998
18,Kansas,29.2,1998
19,Kentucky,40.5,1998
20,Louisiana,37.3,1998
21,Maine,32.6,1998
22,Maryland,43.6,1998
23,Massachusetts,36.4,1998
24,Michigan,39.0,1998
25,Minnesota,21.1,1998
26,Mississippi,39.4,1998
27,Missouri,39.6,1998
28,Montana,21.8,1998
29,Nebraska,25.1,1998
30,Nevada,32.7,1998
31,New Hampshire,34.9,1998
32,New Jersey,37.4,1998
33,New Mexico,27.0,1998
34,New York,33.8,1998
35,North Carolina,42.9,1998
36,North Dakota,23.2,1998
37,Ohio,39.3,1998
38,Oklahoma,38.5,1998
39,Oregon,26.8,1998
40,Pennsylvania,41.8,1998
41,Puerto Rico,22.0,1998
42,Rhode Island,40.0,1998
43,South Carolina,42.8,1998
44,South Dakota,20.2,1998
45,Tennessee,42.4,1998
46,Texas,38.2,1998
47,Utah,37.2,1998
48,Vermont,28.8,1998
49,Virgin Islands,18.7,1998
50,Virginia,33.8,1998
51,Washington,26.9,1998
52,West Virginia,34.0,1998
53,Wisconsin,40.8,1998
54,Wyoming,24.1,1998
55,Alabama,51.7,1999
56,Alaska,21.8,1999
57,Arizona,47.2,1999
58,Arkansas,50.8,1999
59,California,50.7,1999
60,Canada,34.0,1999
61,Colorado,29.5,1999
62,Connecticut,43.5,1999
63,Country Of Mexico,73.7,1999
64,Delaware,51.7,1999
65,District Of Columbia,59.0,1999
66,Florida,37.0,1999
67,Georgia,54.1,1999
68,Hawaii,20.3,1999
69,Idaho,26.5,1999
70,Illinois,37.6,1999
71,Indiana,46.1,1999
72,Iowa,39.3,1999
73,Kansas,36.9,1999
74,Kentucky,48.7,1999
75,Louisiana,43.9,1999
76,Maine,31.9,1999
77,Maryland,44.9,1999
78,Massachusetts,42.5,1999
79,Michigan,39.4,1999
80,Minnesota,25.4,1999
81,Mississippi,48.4,1999
82,Missouri,47.6,1999
83,Montana,18.5,1999
84,Nebraska,31.4,1999
85,Nevada,42.7,1999
86,New Hampshire,37.1,1999
87,New Jersey,40.3,1999
88,New Mexico,28.6,1999
89,New York,38.0,1999
90,North Carolina,51.2,1999
91,North Dakota,25.5,1999
92,Ohio,44.9,1999
93,Oklahoma,38.1,1999
94,Oregon,31.5,1999
95,Pennsylvania,44.1,1999
96,Puerto Rico,26.9,1999
97,Rhode Island,41.0,1999
98,South Carolina,46.8,1999
99,South Dakota,29.0,1999
100,Tennessee,53.1,1999
101,Texas,40.0,1999
102,Utah,38.9,1999
103,Vermont,35.5,1999
104,Virgin Islands,20.3,1999
105,Virginia,38.3,1999
106,Washington,27.7,1999
107,West Virginia,43.8,1999
108,Wisconsin,40.5,1999
109,Wyoming,27.3,1999
110,Alabama,52.7,2000
111,Alaska,22.7,2000
112,Arizona,40.2,2000
113,Arkansas,51.1,2000
114,California,47.4,2000
115,Canada,28.0,2000
116,Colorado,29.6,2000
117,Connecticut,40.8,2000
118,Country Of Mexico,74.3,2000
119,Delaware,51.3,2000
120,District Of Columbia,58.0,2000
121,Florida,39.0,2000
122,Georgia,51.6,2000
123,Hawaii,19.2,2000
124,Idaho,26.3,2000
125,Illinois,39.2,2000
126,Indiana,43.5,2000
127,Iowa,37.4,2000
128,Kansas,35.8,2000
129,Kentucky,43.8,2000
130,Louisiana,44.6,2000
131,Maine,29.4,2000
132,Maryland,42.2,2000
133,Massachusetts,40.7,2000
134,Michigan,37.3,2000
135,Minnesota,28.6,2000
136,Mississippi,51.3,2000
137,Missouri,45.2,2000
138,Montana,18.9,2000
139,Nebraska,30.5,2000
140,Nevada,40.1,2000
141,New Hampshire,33.5,2000
142,New Jersey,39.4,2000
143,New Mexico,28.1,2000
144,New York,35.2,2000
145,North Carolina,50.6,2000
146,North Dakota,24.0,2000
147,Ohio,42.8,2000
148,Oklahoma,39.7,2000
149,Oregon,28.5,2000
150,Pennsylvania,42.3,2000
151,Puerto Rico,25.8,2000
152,Rhode Island,41.3,2000
