State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,32.96,51.66666666666666,52.72727272727273,45.57142857142857,42.90909090909091,43.41666666666666,42.28,44.125,45.82608695652174,49.85,44.31578947368421,39.47368421052632,46.1578947368421,42.78947368421053,40.11764705882353,37.388888888888886,38.16666666666666,39.333333333333336,39.44444444444444,38.44444444444444,36.76470588235294,39.23529411764706,35.2,35.46666666666667,39.92857142857143
Alaska,24.2,21.83333333333333,22.666666666666668,19.625,21.0,17.857142857142858,15.3,16.22222222222222,17.625,16.875,14.22222222222222,18.0,19.75,22.375,22.0,20.375,23.375,23.125,24.142857142857142,22.0,22.0,19.22222222222222,15.77777777777778,17.25,24.4
Arizona,44.6,47.16666666666666,40.23076923076923,38.46153846153846,43.15384615384615,45.38461538461539,41.30769230769231,42.71428571428572,49.142857142857146,47.5,48.15384615384615,45.38461538461539,42.92307692307692,45.84615384615385,46.61538461538461,44.30769230769231,43.61538461538461,40.46153846153846,42.53846153846154,44.15384615384615,43.07692307692308,41.84615384615385,47.07692307692308,48.76923076923077,43.46153846153846
Arkansas,39.2,50.833333333333336,51.095238095238095,48.19047619047619,42.285714285714285,45.04761904761905,42.52941176470589,50.6,44.375,44.75,41.3125,39.0625,43.70588235294117,42.76470588235294,40.85714285714285,37.72727272727273,36.18181818181818,35.09090909090909,36.36363636363637,37.09090909090909,35.416666666666664,36.15384615384615,33.0,35.81818181818182,33.81818181818182
California,42.46428571428572,50.67857142857143,47.42857142857143,48.94545454545455,51.5,50.5,49.698113207547166,45.9811320754717,47.60377358490566,48.886792452830186,50.905660377358494,47.56603773584906,45.301886792452834,49.42592592592592,48.7037037037037,49.42592592592592,48.888888888888886,49.42592592592592,46.388888888888886,49.0188679245283,48.79245283018868,43.83018867924528,48.0188679245283,47.75471698113208,44.1
Canada,37.0,34.0,28.0,29.5,23.0,23.5,26.33333333333333,20.5,25.0,,,,,,,,,,,,,,,,
Colorado,31.06896551724138,29.5,29.6,29.366666666666667,30.821428571428573,30.535714285714285,29.0,30.464285714285715,30.964285714285715,37.44827586206897,36.13333333333333,35.375,36.5,38.8125,40.25806451612903,39.6,36.5,35.45161290322581,35.15625,36.4375,39.06060606060606,34.07142857142857,34.57142857142857,35.857142857142854,39.92307692307692
Connecticut,42.125,43.5,40.75,43.75,44.75,44.625,41.625,42.75,40.875,41.25,40.5,36.375,39.75,39.5,42.375,44.0,41.875,41.0,40.25,38.25,37.625,39.5,39.125,38.0,40.25
Country Of Mexico,67.33333333333333,73.66666666666667,74.33333333333333,69.66666666666667,63.0,64.0,67.33333333333333,66.0,70.66666666666667,74.66666666666667,60.0,54.0,54.66666666666666,46.0,37.5,31.5,48.0,73.0,63.0,50.0,55.5,57.5,78.0,49.5,54.0
Delaware,46.66666666666666,51.66666666666666,51.333333333333336,54.333333333333336,52.0,48.0,49.333333333333336,51.66666666666666,50.333333333333336,50.333333333333336,49.0,44.0,46.66666666666666,44.0,43.333333333333336,42.0,44.66666666666666,43.66666666666666,41.333333333333336,41.333333333333336,40.0,42.333333333333336,38.0,39.66666666666666,38.66666666666666
District Of Columbia,49.0,59.0,58.0,62.0,58.0,57.0,56.0,57.0,54.0,54.0,51.0,49.0,51.0,54.0,56.0,48.0,47.0,47.0,47.0,51.0,44.0,44.0,40.0,44.0,43.0
Florida,33.457142857142856,37.0,38.97142857142857,37.21621621621622,36.52777777777778,36.388888888888886,39.69444444444444,39.638888888888886,40.833333333333336,40.8,39.083333333333336,38.36111111111112,40.35135135135136,38.71052631578947,36.94736842105263,35.0,36.53846153846154,34.717948717948715,37.20512820512821,37.0,34.82051282051282,35.7948717948718,35.76923076923077,36.28947368421053,39.92105263157895
