,State,Year,Population
2,Alabama,2010,4785437
3,Alabama,2011,4799069
4,Alabama,2012,4815588
5,Alabama,2013,4830081
6,Alabama,2014,4841799
7,Alabama,2015,4852347
8,Alabama,2016,4863525
9,Alabama,2017,4874486
10,Alabama,2018,4887681
11,Alabama,2019,4903185
14,Alaska,2010,713910
15,Alaska,2011,722128
16,Alaska,2012,730443
17,Alaska,2013,737068
18,Alaska,2014,736283
19,Alaska,2015,737498
20,Alaska,2016,741456
21,Alaska,2017,739700
22,Alaska,2018,735139
23,Alaska,2019,731545
26,Arizona,2010,6407172
27,Arizona,2011,6472643
28,Arizona,2012,6554978
29,Arizona,2013,6632764
30,Arizona,2014,6730413
31,Arizona,2015,6829676
32,Arizona,2016,6941072
33,Arizona,2017,7044008
34,Arizona,2018,7158024
35,Arizona,2019,7278717
38,Arkansas,2010,2921964
39,Arkansas,2011,2940667
40,Arkansas,2012,2952164
41,Arkansas,2013,2959400
42,Arkansas,2014,2967392
43,Arkansas,2015,2978048
44,Arkansas,2016,2989918
45,Arkansas,2017,3001345
46,Arkansas,2018,3009733
47,Arkansas,2019,3017804
50,California,2010,37319502
51,California,2011,37638369
52,California,2012,37948800
53,California,2013,38260787
54,California,2014,38596972
55,California,2015,38918045
56,California,2016,39167117
57,California,2017,39358497
58,California,2018,39461588
59,California,2019,39512223
62,Colorado,2010,5047349
63,Colorado,2011,5121108
64,Colorado,2012,5192647
65,Colorado,2013,5269035
66,Colorado,2014,5350101
67,Colorado,2015,5450623
68,Colorado,2016,5539215
69,Colorado,2017,5611885
70,Colorado,2018,5691287
71,Colorado,2019,5758736
74,Delaware,2010,899593
75,Delaware,2011,907381
76,Delaware,2012,915179
77,Delaware,2013,923576
78,Delaware,2014,932487
79,Delaware,2015,941252
80,Delaware,2016,948921
81,Delaware,2017,956823
82,Delaware,2018,965479
83,Delaware,2019,973764
86,District of Columbia,2010,605226
87,District of Columbia,2011,619800
88,District of Columbia,2012,634924
89,District of Columbia,2013,650581
90,District of Columbia,2014,662328
91,District of Columbia,2015,675400
92,District of Columbia,2016,685815
93,District of Columbia,2017,694906
94,District of Columbia,2018,701547
95,District of Columbia,2019,705749
98,Connecticut,2010,3579114
99,Connecticut,2011,3588283
100,Connecticut,2012,3594547
101,Connecticut,2013,3594841
102,Connecticut,2014,3594524
103,Connecticut,2015,3587122
104,Connecticut,2016,3578141
105,Connecticut,2017,3573297
106,Connecticut,2018,3571520
107,Connecticut,2019,3565287
110,Florida,2010,18845537
111,Florida,2011,19053237
112,Florida,2012,19297822
113,Florida,2013,19545621
114,Florida,2014,19845911
115,Florida,2015,20209042
116,Florida,2016,20613477
117,Florida,2017,20963613
118,Florida,2018,21244317
119,Florida,2019,21477737
122,Georgia,2010,9711881
123,Georgia,2011,9802431
124,Georgia,2012,9901430
125,Georgia,2013,9972479
126,Georgia,2014,10067278
127,Georgia,2015,10178447
128,Georgia,2016,10301890
129,Georgia,2017,10410330
130,Georgia,2018,10511131
131,Georgia,2019,10617423
134,Idaho,2010,1570746
135,Idaho,2011,1583910
136,Idaho,2012,1595324
137,Idaho,2013,1611206
138,Idaho,2014,1631112
139,Idaho,2015,1651059
140,Idaho,2016,1682380
141,Idaho,2017,1717715
142,Idaho,2018,1750536
143,Idaho,2019,1787065
146,Hawaii,2010,1363963
147,Hawaii,2011,1379329
148,Hawaii,2012,1394804
149,Hawaii,2013,1408243
150,Hawaii,2014,1414538
151,Hawaii,2015,1422052
152,Hawaii,2016,1427559
153,Hawaii,2017,1424393
154,Hawaii,2018,1420593
155,Hawaii,2019,1415872
158,Illinois,2010,12840503
159,Illinois,2011,12867454
160,Illinois,2012,12882510
161,Illinois,2013,12895129
162,Illinois,2014,12884493
163,Illinois,2015,12858913
164,Illinois,2016,12820527
165,Illinois,2017,12778828
166,Illinois,2018,12723071
167,Illinois,2019,12671821
170,Indiana,2010,6490432
171,Indiana,2011,6516528
172,Indiana,2012,6537703
173,Indiana,2013,6568713
174,Indiana,2014,6593644
175,Indiana,2015,6608422
176,Indiana,2016,6634304
177,Indiana,2017,6658078
178,Indiana,2018,6695497
179,Indiana,2019,6732219
182,Iowa,2010,3050745
183,Iowa,2011,3066336
184,Iowa,2012,3076190
185,Iowa,2013,3092997
186,Iowa,2014,3109350
187,Iowa,2015,3120960
188,Iowa,2016,3131371
189,Iowa,2017,3141550
190,Iowa,2018,3148618
191,Iowa,2019,3155070
194,Kansas,2010,2858190
195,Kansas,2011,2869225
196,Kansas,2012,2885257
197,Kansas,2013,2893212
198,Kansas,2014,2900475
199,Kansas,2015,2909011
200,Kansas,2016,2910844
201,Kansas,2017,2908718
202,Kansas,2018,2911359
203,Kansas,2019,2913314
206,Kentucky,2010,4348181
207,Kentucky,2011,4369821
208,Kentucky,2012,4386346
209,Kentucky,2013,4404659
210,Kentucky,2014,4414349
211,Kentucky,2015,4425976
212,Kentucky,2016,4438182
213,Kentucky,2017,4452268
214,Kentucky,2018,4461153
215,Kentucky,2019,4467673
218,Louisiana,2010,4544532
219,Louisiana,2011,4575625
220,Louisiana,2012,4600972
221,Louisiana,2013,4624527
222,Louisiana,2014,4644013
223,Louisiana,2015,4664628
224,Louisiana,2016,4678135
225,Louisiana,2017,4670560
226,Louisiana,2018,4659690
227,Louisiana,2019,4648794
230,Maine,2010,1327629
231,Maine,2011,1328284
232,Maine,2012,1327729
233,Maine,2013,1328009
234,Maine,2014,1330513
235,Maine,2015,1328262
236,Maine,2016,1331317
237,Maine,2017,1334612
238,Maine,2018,1339057
239,Maine,2019,1344212
242,Maryland,2010,5788645
243,Maryland,2011,5839419
244,Maryland,2012,5886992
245,Maryland,2013,5923188
246,Maryland,2014,5957283
247,Maryland,2015,5985562
248,Maryland,2016,6003323
249,Maryland,2017,6023868
250,Maryland,2018,6035802
251,Maryland,2019,6045680
254,Massachusetts,2010,6566307
255,Massachusetts,2011,6613583
256,Massachusetts,2012,6663005
257,Massachusetts,2013,6713315
258,Massachusetts,2014,6762596
259,Massachusetts,2015,6794228
260,Massachusetts,2016,6823608
261,Massachusetts,2017,6859789
262,Massachusetts,2018,6882635
263,Massachusetts,2019,6892503
266,Michigan,2010,9877510
267,Michigan,2011,9882412
268,Michigan,2012,9897145
269,Michigan,2013,9913065
270,Michigan,2014,9929848
271,Michigan,2015,9931715
272,Michigan,2016,9950571
273,Michigan,2017,9973114
274,Michigan,2018,9984072
275,Michigan,2019,9986857
278,Minnesota,2010,5310828
279,Minnesota,2011,5346143
280,Minnesota,2012,5376643
281,Minnesota,2013,5413479
282,Minnesota,2014,5451079
283,Minnesota,2015,5482032
284,Minnesota,2016,5522744
285,Minnesota,2017,5566230
286,Minnesota,2018,5606249
287,Minnesota,2019,5639632
290,Mississippi,2010,2970548
291,Mississippi,2011,2978731
