,Area,Measure,Units,Year,Value
0,Alabama,Hours worked,Millions of hours,2007,"3,149.999"
1,Alabama,Hours worked,Millions of hours,2008,"2,999.167"
2,Alabama,Hours worked,Millions of hours,2009,"2,715.492"
3,Alabama,Hours worked,Millions of hours,2010,"2,727.896"
4,Alabama,Hours worked,Millions of hours,2011,"2,738.003"
5,Alabama,Hours worked,Millions of hours,2012,"2,833.266"
6,Alabama,Hours worked,Millions of hours,2013,"2,880.843"
7,Alabama,Hours worked,Millions of hours,2014,"2,849.259"
8,Alabama,Hours worked,Millions of hours,2015,"2,898.059"
9,Alabama,Hours worked,Millions of hours,2016,"2,965.173"
10,Alabama,Hours worked,Millions of hours,2017,"2,979.915"
11,Alabama,Hours worked,Millions of hours,2018,"3,024.191"
12,Alabama,Hours worked,Millions of hours,2019,"3,048.612"
13,Alabama,Hours worked,Millions of hours,2020,"2,920.705"
14,Alabama,Hours worked,Millions of hours,2021,"3,018.770"
15,Alaska,Hours worked,Millions of hours,2007,468.319
16,Alaska,Hours worked,Millions of hours,2008,462.610
17,Alaska,Hours worked,Millions of hours,2009,452.619
18,Alaska,Hours worked,Millions of hours,2010,459.836
19,Alaska,Hours worked,Millions of hours,2011,487.658
20,Alaska,Hours worked,Millions of hours,2012,482.361
21,Alaska,Hours worked,Millions of hours,2013,487.658
22,Alaska,Hours worked,Millions of hours,2014,473.701
23,Alaska,Hours worked,Millions of hours,2015,475.262
24,Alaska,Hours worked,Millions of hours,2016,462.165
25,Alaska,Hours worked,Millions of hours,2017,459.025
26,Alaska,Hours worked,Millions of hours,2018,464.092
27,Alaska,Hours worked,Millions of hours,2019,478.570
28,Alaska,Hours worked,Millions of hours,2020,425.694
29,Alaska,Hours worked,Millions of hours,2021,439.685
30,Arizona,Hours worked,Millions of hours,2007,"4,244.943"
31,Arizona,Hours worked,Millions of hours,2008,"4,098.235"
32,Arizona,Hours worked,Millions of hours,2009,"3,801.730"
33,Arizona,Hours worked,Millions of hours,2010,"3,769.834"
