,State,Median AQI,Year,Measure,Value,Population,per_capita
0,Alabama,46.2,2010,Employment,1618.8,4785437,0.3382763162486519
1,Alaska,19.8,2010,Employment,269.0,713910,0.37679819585101765
2,Arizona,42.9,2010,Employment,2222.9,6407172,0.3469393361064757
3,Arkansas,43.7,2010,Employment,1016.6,2921964,0.34791667522255576
4,California,45.3,2010,Employment,13566.7,37319502,0.36352843079202934
5,Colorado,36.5,2010,Employment,2033.2,5047349,0.4028253247397792
6,Connecticut,39.8,2010,Employment,1500.2,3579114,0.41915401409399083
7,Delaware,46.7,2010,Employment,368.8,899593,0.409963172234555
8,Florida,40.4,2010,Employment,6561.6,18845537,0.3481779266889556
9,Georgia,46.3,2010,Employment,3423.2,9711881,0.3524754885279175
10,Hawaii,40.3,2010,Employment,512.8,1363963,0.37596327759623976
11,Idaho,28.2,2010,Employment,552.6,1570746,0.3518073577777693
12,Illinois,40.2,2010,Employment,5082.3,12840503,0.39580225167191657
13,Indiana,47.5,2010,Employment,2503.9,6490432,0.38578325757052845
14,Iowa,39.4,2010,Employment,1333.2,3050745,0.43700800951898633
15,Kansas,33.4,2010,Employment,1166.8,2858190,0.40823038356442365
16,Kentucky,43.8,2010,Employment,1568.4,4348181,0.3607025558503659
17,Louisiana,42.2,2010,Employment,1654.0,4544532,0.3639538680770649
18,Maine,34.1,2010,Employment,556.6,1327629,0.41924362905600887
19,Maryland,46.4,2010,Employment,2169.7,5788645,0.37482001401018716
20,Massachusetts,38.8,2010,Employment,3032.6,6566307,0.4618425547267284
21,Michigan,38.3,2010,Employment,3479.1,9877510,0.35222439663437444
22,Minnesota,33.1,2010,Employment,2392.4,5310828,0.4504758956607143
23,Mississippi,44.3,2010,Employment,919.5,2970548,0.30953884603110265
24,Missouri,43.9,2010,Employment,2388.4,5995974,0.3983339487462754
25,Montana,27.9,2010,Employment,384.7,990697,0.3883124709169403
26,Nebraska,29.8,2010,Employment,844.7,1829542,0.46170025066382736
27,Nevada,32.6,2010,Employment,1033.6,2702405,0.3824741295253672
28,New Hampshire,38.3,2010,Employment,584.0,1316762,0.4435121912691891
29,New Jersey,40.8,2010,Employment,3411.3,8799446,0.3876721329956454
30,New Mexico,30.3,2010,Employment,665.5,2064552,0.3223459617389148
31,New York,37.1,2010,Employment,7582.7,19399878,0.39086328274847915
32,North Carolina,44.1,2010,Employment,3429.9,9574323,0.3582394285214735
33,North Dakota,34.4,2010,Employment,321.4,674715,0.47634927339691574
34,Ohio,46.4,2010,Employment,4576.9,11539336,0.39663460705191356
35,Oklahoma,40.2,2010,Employment,1318.3,3759944,0.350616924081848
36,Oregon,25.4,2010,Employment,1477.3,3837491,0.3849650722307883
37,Pennsylvania,45.2,2010,Employment,5231.7,12711160,0.41158320719745484
38,Rhode Island,39.3,2010,Employment,428.8,1053959,0.4068469456591765
39,South Carolina,40.8,2010,Employment,1580.2,4635649,0.3408799932868084
40,South Dakota,34.7,2010,Employment,356.4,816166,0.4366758723102898
41,Tennessee,41.3,2010,Employment,2414.4,6355311,0.3799027301732362
42,Texas,38.2,2010,Employment,9313.2,25241971,0.3689569249564545
