,State,Median AQI,Year,Measure,Value,Population,per_capita
0,Alabama,46.2,2010,Hours worked,2727.896,4785437,570.0411477572477
1,Alaska,19.8,2010,Hours worked,459.836,713910,644.1092014399575
2,Arizona,42.9,2010,Hours worked,3769.834,6407172,588.3772122864815
3,Arkansas,43.7,2010,Hours worked,1713.362,2921964,586.3734118558614
4,California,45.3,2010,Hours worked,22332.549,37319502,598.4149788493962
5,Colorado,36.5,2010,Hours worked,3349.267,5047349,663.5695292717028
6,Connecticut,39.8,2010,Hours worked,2407.037,3579114,672.5231439959722
7,Delaware,46.7,2010,Hours worked,578.474,899593,643.0396857245444
8,Florida,40.4,2010,Hours worked,11248.163,18845537,596.8608376614579
9,Georgia,46.3,2010,Hours worked,5743.52,9711881,591.3911012707014
10,Hawaii,40.3,2010,Hours worked,827.376,1363963,606.5970997747006
11,Idaho,28.2,2010,Hours worked,891.088,1570746,567.3024155401318
12,Illinois,40.2,2010,Hours worked,8431.818,12840503,656.6579206437628
13,Indiana,47.5,2010,Hours worked,4233.951,6490432,652.3373174543698
14,Iowa,39.4,2010,Hours worked,2188.948,3050745,717.5126075761822
15,Kansas,33.4,2010,Hours worked,1913.744,2858190,669.5650044258779
16,Kentucky,43.8,2010,Hours worked,2665.207,4348181,612.9475750894454
17,Louisiana,42.2,2010,Hours worked,2895.188,4544532,637.0706598611254
18,Maine,34.1,2010,Hours worked,906.127,1327629,682.5152207431444
19,Maryland,46.4,2010,Hours worked,3574.197,5788645,617.4496795018523
20,Massachusetts,38.8,2010,Hours worked,4883.48,6566307,743.7178919596662
21,Michigan,38.3,2010,Hours worked,5624.684,9877510,569.4435135980626
22,Minnesota,33.1,2010,Hours worked,3802.482,5310828,715.9866597072999
23,Mississippi,44.3,2010,Hours worked,1598.967,2970548,538.2734094853879
24,Missouri,43.9,2010,Hours worked,3912.397,5995974,652.503996848552
25,Montana,27.9,2010,Hours worked,606.333,990697,612.0266842435175
26,Nebraska,29.8,2010,Hours worked,1394.775,1829542,762.3629301759676
