,State,Median AQI,Year,Measure,Value,Population,per_capita
0,Alabama,46.2,2010,Labor productivity,99.876,4785437,2.0870821201909044e-05
1,Alaska,19.8,2010,Labor productivity,98.003,713910,0.00013727640739028728
2,Arizona,42.9,2010,Labor productivity,95.873,6407172,1.496338790343072e-05
3,Arkansas,43.7,2010,Labor productivity,99.378,2921964,3.4010685963276756e-05
4,California,45.3,2010,Labor productivity,98.899,37319502,2.650062157849802e-06
5,Colorado,36.5,2010,Labor productivity,101.145,5047349,2.003923247629597e-05
6,Connecticut,39.8,2010,Labor productivity,106.06,3579114,2.963303208559437e-05
7,Delaware,46.7,2010,Labor productivity,100.739,899593,0.00011198286336154239
8,Florida,40.4,2010,Labor productivity,98.878,18845537,5.246759484752278e-06
9,Georgia,46.3,2010,Labor productivity,100.225,9711881,1.0319834025972929e-05
10,Hawaii,40.3,2010,Labor productivity,102.064,1363963,7.482900929130775e-05
11,Idaho,28.2,2010,Labor productivity,101.757,1570746,6.47825937484482e-05
12,Illinois,40.2,2010,Labor productivity,97.95,12840503,7.628205842092011e-06
13,Indiana,47.5,2010,Labor productivity,100.976,6490432,1.555767012118762e-05
14,Iowa,39.4,2010,Labor productivity,97.417,3050745,3.193220016750007e-05
15,Kansas,33.4,2010,Labor productivity,98.595,2858190,3.449560735990259e-05
16,Kentucky,43.8,2010,Labor productivity,96.827,4348181,2.2268392231142172e-05
17,Louisiana,42.2,2010,Labor productivity,108.742,4544532,2.3928096446454774e-05
18,Maine,34.1,2010,Labor productivity,102.264,1327629,7.702754308620857e-05
19,Maryland,46.4,2010,Labor productivity,99.656,5788645,1.7215773294095597e-05
20,Massachusetts,38.8,2010,Labor productivity,97.122,6566307,1.4790962408550195e-05
21,Michigan,38.3,2010,Labor productivity,100.005,9877510,1.012451518651968e-05
22,Minnesota,33.1,2010,Labor productivity,100.323,5310828,1.8890274736820696e-05
23,Mississippi,44.3,2010,Labor productivity,96.619,2970548,3.252564846620893e-05
24,Missouri,43.9,2010,Labor productivity,102.278,5995974,1.7057779103111523e-05
25,Montana,27.9,2010,Labor productivity,100.635,990697,0.00010157999872816816
26,Nebraska,29.8,2010,Labor productivity,95.431,1829542,5.2161141968864335e-05
27,Nevada,32.6,2010,Labor productivity,100.397,2702405,3.7150982180687206e-05
28,New Hampshire,38.3,2010,Labor productivity,99.337,1316762,7.544036052073192e-05
29,New Jersey,40.8,2010,Labor productivity,100.181,8799446,1.1384921277998637e-05
30,New Mexico,30.3,2010,Labor productivity,99.961,2064552,4.841776811627898e-05
31,New York,37.1,2010,Labor productivity,98.311,19399878,5.067609188057781e-06
32,North Carolina,44.1,2010,Labor productivity,102.864,9574323,1.0743736136748259e-05
33,North Dakota,34.4,2010,Labor productivity,86.736,674715,0.00012855205531224294
34,Ohio,46.4,2010,Labor productivity,100.658,11539336,8.72303224379635e-06
35,Oklahoma,40.2,2010,Labor productivity,93.45,3759944,2.4854093571606385e-05
36,Oregon,25.4,2010,Labor productivity,98.434,3837491,2.5650613903719902e-05
