Sector,Area,Basis,Measure,Units,Year,Value
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2007,"3,149.999"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2008,"2,999.167"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2009,"2,715.492"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2010,"2,727.896"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2011,"2,738.003"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2012,"2,833.266"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2013,"2,880.843"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2014,"2,849.259"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2015,"2,898.059"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2016,"2,965.173"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2017,"2,979.915"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2018,"3,024.191"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2019,"3,048.612"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2020,"2,920.705"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2021,"3,018.770"
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2007,468.319
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2008,462.610
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2009,452.619
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2010,459.836
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2011,487.658
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2012,482.361
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2013,487.658
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2014,473.701
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2015,475.262
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2016,462.165
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2017,459.025
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2018,464.092
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2019,478.570
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2020,425.694
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2021,439.685
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2007,"4,244.943"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2008,"4,098.235"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2009,"3,801.730"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2010,"3,769.834"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2011,"3,773.207"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2012,"3,844.820"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2013,"3,915.421"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2014,"3,969.139"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2015,"4,133.559"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2016,"4,199.313"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2017,"4,362.743"
